Категория,Наименование,Цена на розлив,Цена 1л,Цена 4л,Вязкость,Синтетика,Полусинтетика,Ультра,Дизель
5W-40,Shell Helix HX8 5W-40,1300,1500,5500,5W-40,Да,,Нет,Нет
5W-30,Shell Helix HX8 5W-30,1300,1500,5500,5W-30,Да,,Нет,Нет
5W-30,Shell Helix Ultra ECT C3 5W-30,1500,1800,6500,5W-30,Да,,Да,Нет
5W-40,Shell Helix Ultra 5W-40,,1500,5500,5W-40,Да,,Да,Нет
10W-40,Shell Helix HX7 10W-40,800,1000,4500,10W-40,,Да,Нет,Нет
5W-30,Shell Helix HX8 ECT 5W-30,,1500,5500,5W-30,Да,,Нет,Нет
5W-30,Shell Helix HX8 A5/B5 5W-30,,1500,5500,5W-30,Да,,Нет,Нет
10W-40,Shell Motor Oil 10W-40,,900,4000,10W-40,,Да,Нет,Нет
5W-40,Shell Helix Ultra Diesel 5W-40,,1800,6500,5W-40,Да,,Да,Да
0W-30,Shell Helix Ultra ECT C3 0W-30,,1800,8000,0W-30,Да,,Да,Нет
5W-40,Shell Helix High Mileage 5W-40,,1300,5500,5W-40,Да,,Нет,Нет
10W-60,Shell Helix Ultra 10W-60,,1800,8000,10W-60,Да,,Да,Нет
Услуги,Замена моторного масла,,,1500,Услуги,,,,,
Услуги,Замена масла в АКПП,,,3000,Услуги,,,,,
